pH,Temperature,Humidity,Moisture,N,P,K,Semantic_Tag,Days_to_Ready
7.43,30.75,41.97,9.79,43,33,94,"P-deficiency, K-deficiency",59.153
5.5,28.02,55.65,12.13,65,27,39,"N-deficiency, Healthy",60.786
7.82,29.46,55.73,11.28,29,40,65,"P-deficiency, K-deficiency",59.385999999999996
5.88,33.25,93.94,31.48,47,37,70,"K-deficiency, K-deficiency",41.931000000000004
6.0,29.17,36.19,26.75,67,28,36,"K-deficiency, N-deficiency",47.515
7.31,20.59,61.11,23.73,49,7,93,"Healthy, N-deficiency",52.841
5.87,38.6,33.16,17.05,54,39,43,"P-deficiency, Healthy",50.82
6.98,39.31,80.55,11.72,44,38,27,"Pest-risk, K-deficiency",52.509
7.2,30.42,33.44,30.59,34,37,64,"N-deficiency, K-deficiency",42.217999999999996
7.43,30.91,93.49,26.76,35,24,80,"Pest-risk, P-deficiency",45.497
7.81,27.65,67.44,14.03,38,38,76,"N-deficiency, N-deficiency",58.071
7.26,33.91,87.83,17.93,24,37,49,"K-deficiency, K-deficiency",50.721000000000004
7.2,21.43,75.9,32.06,64,8,21,"P-deficiency, N-deficiency",45.537
6.33,18.42,93.22,23.18,44,7,69,"P-deficiency, Healthy",55.086
7.46,20.64,26.62,14.49,70,41,37,"N-deficiency, P-deficiency",60.508
5.21,21.06,68.33,30.44,27,14,68,"N-deficiency, P-deficiency",50.19799999999999
7.25,38.93,37.96,21.59,64,14,75,"Pest-risk, Pest-risk",45.263000000000005
6.03,33.42,33.06,35.37,19,42,24,"Pest-risk, Pest-risk",38.434
5.97,40.71,74.7,25.27,26,43,78,"K-deficiency, Pest-risk",42.989000000000004
7.7,35.54,91.87,9.01,21,14,88,"Pest-risk, K-deficiency",57.922000000000004
5.18,25.84,43.33,35.91,22,44,88,"P-deficiency, P-deficiency",43.492000000000004
7.54,18.08,41.89,22.79,24,10,25,"Pest-risk, Pest-risk",55.308
6.93,22.6,52.25,22.59,55,28,32,"N-deficiency, K-deficiency",52.268
6.1,35.66,29.01,32.57,56,6,58,"K-deficiency, N-deficiency",39.414
7.17,18.92,72.91,35.66,68,34,44,"Healthy, K-deficiency",43.852000000000004
